,name,company,year,Price,kms_driven,fuel_type
82,EcoSport Titanium,Ford,2016,1824428,133465,CNG
83,A4 2.0 TDI,Audi,2012,551939,54369,Petrol
84,A4 2.0 TDI,Audi,2001,149840,53522,CNG
85,Sunny XV,Nissan,2016,538876,85447,Petrol
86,Fabia 1.2L,Skoda,2016,1208797,47733,Petrol
87,Spark 1.0,Chevrolet,2021,634787,32098,LPG
88,Micra XL,Nissan,2000,360106,13128,CNG
89,Rapid 1.6,Skoda,2013,1186256,103275,LPG
90,Sail 1.2,Chevrolet,2005,558490,45770,CNG
91,CR-V 2.4,Honda,2000,335395,34340,LPG
92,GLA Class 200,Mercedes,2023,2377698,70857,CNG
93,A6 2.0 TDI,Audi,2021,1275698,38780,Petrol
94,S Class S350,Mercedes,2015,229097,87537,LPG
95,X5 xDrive,BMW,2009,225802,40309,Diesel
96,Thar CRDe,Mahindra,2022,251675,120354,CNG
97,Rapid 1.6,Skoda,2007,373627,14378,Diesel
98,Sunny XV,Nissan,2000,608117,40611,Diesel
99,Cruze VCDi,Chevrolet,2019,1187318,131873,LPG
100,GLA Class 200,Mercedes,2020,1716420,69012,Petrol
101,Sail 1.2,Chevrolet,2002,709734,122083,Petrol
102,Fiesta EXI,Ford,2020,1936703,101717,Diesel
103,Endeavour 3.2,Ford,2003,597315,122752,CNG
104,X1 sDrive,BMW,2016,824362,14434,Diesel
105,Duster 110 PS,Renault,2011,1466595,9137,LPG
106,Suzuki Wagon R,Maruti,2001,455584,131692,Petrol
107,C Class C220,Mercedes,2004,68580,9524,Petrol
108,X5 xDrive,BMW,2006,298678,51899,CNG
109,Ikon 1.3,Ford,2020,193039,95302,LPG
110,Figo Aspire,Ford,2002,689773,139931,Diesel
111,Fortuner 3.0,Toyota,2012,1535069,71972,Diesel
112,Duster 110 PS,Renault,2001,444116,121658,LPG
113,Suzuki Wagon R,Maruti,2013,535405,117547,LPG
114,i20 Asta,Hyundai,2018,378036,5848,Diesel
115,Octavia Classic,Skoda,2012,169541,49752,Petrol
116,Figo Aspire,Ford,2004,162480,71701,LPG
117,CR-V 2.4,Honda,2006,445762,119311,CNG
118,Spark 1.0,Chevrolet,2016,315526,28671,LPG
119,Sail 1.2,Chevrolet,2010,1072954,70845,Petrol
120,Kwid RXT,Renault,2001,50029,57408,Petrol
121,Jetta 2.0,Volkswagen,2011,745802,69544,LPG
123,Bolero Power,Mahindra,2022,1722416,22851,Diesel
124,Jetta 2.0,Volkswagen,2022,125288,55449,CNG
125,X1 sDrive,BMW,2018,1802945,119914,Petrol
126,Ikon 1.3,Ford,2014,580119,74341,CNG
127,GLA Class 200,Mercedes,2005,719510,10298,CNG
128,Elantra,Hyundai,2001,685159,114885,CNG
129,Sunny XV,Nissan,2018,998439,60981,LPG
130,Ameo 1.5,Volkswagen,2000,351663,149095,LPG
131,Creta 1.6,Hyundai,2022,329865,133232,Petrol
132,Rapid 1.6,Skoda,2011,112797,121141,Petrol
133,Nano GenX,Tata,2011,313037,125571,LPG
134,Duster 110 PS,Renault,2000,55350,127044,Petrol
135,Terrano XL,Nissan,2005,854984,143564,Diesel
136,Suzuki Alto 800,Maruti,2021,2082281,140473,Petrol
138,Q3 2.0 TDI,Audi,2006,983586,35998,Petrol
139,Grand i10,Hyundai,2012,1028849,83001,Diesel
140,Grand i10,Hyundai,2012,1478462,78825,CNG
141,Scorpio S10,Mahindra,2021,255104,105423,Petrol
142,Suzuki Baleno,Maruti,2013,455418,123206,Diesel
143,Duster 110 PS,Renault,2004,451255,123632,Diesel
144,A3 35 TFSI,Audi,2017,904084,49026,Diesel
145,Figo Aspire,Ford,2010,1369833,38871,Petrol
146,Jetta 2.0,Volkswagen,2006,940016,57240,LPG
147,Beat LS,Chevrolet,2011,268383,56749,Diesel
148,Figo Aspire,Ford,2019,479374,71475,CNG
149,Suzuki Swift,Maruti,2005,193218,146586,LPG
150,Sunny XV,Nissan,2003,755243,53368,CNG
151,i20 Asta,Hyundai,2020,2173653,9303,LPG
152,Kicks XL,Nissan,2021,1238404,123892,Petrol
153,Rapid 1.6,Skoda,2005,459845,147733,Petrol
155,Innova 2.5 V,Toyota,2019,1945057,143020,Petrol
156,i20 Asta,Hyundai,2009,90399,24042,CNG
157,A4 2.0 TDI,Audi,2021,973174,117078,Petrol
158,A3 35 TFSI,Audi,2012,398510,14378,CNG
159,CR-V 2.4,Honda,2020,596765,9789,CNG
160,Amaze SX,Honda,2022,550890,140477,Petrol
161,Fiesta EXI,Ford,2014,771020,68738,Petrol
162,i20 Asta,Hyundai,2016,1684995,108276,LPG
163,A6 2.0 TDI,Audi,2018,1505180,129029,Petrol
164,C Class C220,Mercedes,2016,1150699,60685,CNG
165,Spark 1.0,Chevrolet,2006,678773,91265,LPG
166,Verna 1.6,Hyundai,2018,84258,132305,Petrol
167,A6 2.0 TDI,Audi,2007,430069,2578,CNG
168,Octavia Classic,Skoda,2019,1750895,63677,LPG
169,E Class E220,Mercedes,2016,684861,137146,LPG
170,i20 Asta,Hyundai,2017,816318,105585,LPG
171,EcoSport Titanium,Ford,2018,704166,74815,Diesel
172,Nano GenX,Tata,2013,977363,40363,Diesel
173,S Class S350,Mercedes,2008,705140,57711,Petrol
175,C Class C220,Mercedes,2021,248322,114934,Petrol
176,Sunny XV,Nissan,2000,530800,111075,CNG
177,i20 Asta,Hyundai,2004,971175,68342,CNG
178,Suzuki Wagon R,Maruti,2013,1328414,108509,LPG
179,Tiago Revotorq,Tata,2001,698110,136348,Diesel
180,i20 Asta,Hyundai,2009,954030,9791,LPG
181,Duster 110 PS,Renault,2021,1388441,97781,LPG
182,City VX,Honda,2018,1793233,31073,CNG
183,Suzuki Wagon R,Maruti,2014,1648806,74752,Petrol
184,Ikon 1.3,Ford,2015,434903,136132,Petrol
185,E Class E220,Mercedes,2006,303711,121927,Diesel
186,KUV100,Mahindra,2002,415893,51447,LPG
187,A6 2.0 TDI,Audi,2006,287581,130072,Diesel
188,Suzuki Swift,Maruti,2013,1291022,45329,LPG
189,Suzuki Ertiga,Maruti,2004,802389,3930,Petrol
190,Cruze VCDi,Chevrolet,2000,380453,107489,Diesel
191,Tiago Revotorq,Tata,2005,389725,95789,Petrol
192,Terrano XL,Nissan,2015,348937,121373,CNG
193,A4 2.0 TDI,Audi,2014,1381145,135364,Diesel
194,Harrier XZ,Tata,2007,297190,38249,Diesel
195,GLA Class 200,Mercedes,2007,372502,44368,Petrol
196,Yaris J,Toyota,2013,514125,73230,LPG
197,Captur RXL,Renault,2019,1650265,13271,CNG
198,3 Series 320d,BMW,2007,732169,94558,Diesel
199,City VX,Honda,2015,209484,2741,Diesel
200,X1 sDrive,BMW,2019,260420,123985,Petrol
201,Creta 1.6,Hyundai,2014,690187,127970,CNG
202,City VX,Honda,2020,950652,50871,Petrol
203,Lodgy 85 PS,Renault,2008,609656,136243,Diesel
204,Yaris J,Toyota,2011,973506,67237,Diesel
205,Kwid RXT,Renault,2003,61882,8209,Petrol
206,Ameo 1.5,Volkswagen,2001,218983,78184,CNG
207,Fortuner 3.0,Toyota,2008,1032893,21236,Petrol
208,Duster 110 PS,Renault,2000,539419,59968,Diesel
209,Endeavour 3.2,Ford,2023,2355505,141934,LPG
210,Fabia 1.2L,Skoda,2021,1820196,149089,Diesel
211,Indica V2,Tata,2005,780787,125866,CNG
212,Elantra,Hyundai,2004,65846,66824,CNG
213,Captur RXL,Renault,2016,1408175,142441,Petrol
214,A4 2.0 TDI,Audi,2004,319387,82841,CNG
215,Superb L&K,Skoda,2016,1233200,65492,Diesel
216,Ikon 1.3,Ford,2001,570146,4563,Diesel
218,Duster 110 PS,Renault,2001,712642,104318,Petrol
219,Ikon 1.3,Ford,2010,1094014,106925,LPG
220,Sail 1.2,Chevrolet,2021,1961077,89757,LPG
221,Micra XL,Nissan,2001,401032,22735,Petrol
222,Lodgy 85 PS,Renault,2008,775335,19802,Petrol
223,Q3 2.0 TDI,Audi,2006,61551,116530,CNG
224,Duster 110 PS,Renault,2000,418490,58901,LPG
225,Civic 1.8V,Honda,2009,1188955,6710,Diesel
226,Suzuki Baleno,Maruti,2015,1819204,100989,LPG
227,3 Series 320d,BMW,2021,1932895,30952,Diesel
228,C Class C220,Mercedes,2002,65860,117812,Petrol
229,Jazz V,Honda,2016,872123,120096,CNG
230,Creta 1.6,Hyundai,2007,1096487,2015,CNG
231,XUV500 W8,Mahindra,2020,1868989,117679,Petrol
232,CR-V 2.4,Honda,2004,712368,98337,Petrol
233,Fortuner 3.0,Toyota,2017,1109446,121804,Diesel
234,Yeti Plus,Skoda,2016,300662,70190,Petrol
235,Terrano XL,Nissan,2017,1869745,87128,Diesel
236,City VX,Honda,2008,160418,22376,Diesel
237,Elantra,Hyundai,2000,422792,111340,LPG
238,Santro Xing,Hyundai,2016,200465,23041,LPG
239,Q7 3.0 TDI,Audi,2015,1193886,41974,Diesel
240,Yeti Plus,Skoda,2016,1731331,133991,Petrol
241,C Class C220,Mercedes,2006,845389,44416,Diesel
242,Innova 2.5 V,Toyota,2016,1172625,48576,CNG
243,City VX,Honda,2008,434815,117858,Petrol
244,GLA Class 200,Mercedes,2022,1827575,144111,Petrol
246,Kicks XL,Nissan,2023,1232880,7250,CNG
247,Captur RXL,Renault,2023,368819,12686,Petrol
248,GLA Class 200,Mercedes,2003,588292,125749,CNG
249,Suzuki Vitara Brezza,Maruti,2017,1044852,70901,Petrol
250,Spark 1.0,Chevrolet,2008,846794,78565,Petrol
251,Captur RXL,Renault,2006,156308,48134,CNG
252,Civic 1.8V,Honda,2003,365291,87969,LPG
253,GLA Class 200,Mercedes,2021,1925927,81271,Petrol
254,Ameo 1.5,Volkswagen,2005,926691,131170,CNG
255,A3 35 TFSI,Audi,2000,539836,129996,LPG
257,Rapid 1.6,Skoda,2010,1142019,141238,LPG
258,Spark 1.0,Chevrolet,2010,895870,146139,Petrol
259,C Class C220,Mercedes,2018,1678284,65583,LPG
260,Verna 1.6,Hyundai,2012,1220341,95933,Diesel
261,Polo Highline,Volkswagen,2018,1064905,109040,CNG
262,Rapid 1.6,Skoda,2013,895911,8933,CNG
263,Figo Aspire,Ford,2009,1212126,83148,Diesel
264,Q7 3.0 TDI,Audi,2015,830397,98644,Petrol
265,Cruze VCDi,Chevrolet,2004,881061,56963,Diesel
266,Fiesta EXI,Ford,2001,151815,145411,CNG
267,Figo Aspire,Ford,2003,899460,95982,CNG
269,Scorpio S10,Mahindra,2001,118965,6856,LPG
270,Octavia Classic,Skoda,2009,650134,99009,Diesel
271,Suzuki Baleno,Maruti,2020,1221056,40673,Petrol
272,EcoSport Titanium,Ford,2019,138837,91857,Diesel
273,Beat LS,Chevrolet,2010,127331,59181,LPG
274,Lodgy 85 PS,Renault,2003,774396,44903,Diesel
275,Bolero Power,Mahindra,2015,531251,138019,CNG
276,Fortuner 3.0,Toyota,2013,1126787,129369,Petrol
277,Nexon XZ,Tata,2014,1641687,140691,Petrol
278,Civic 1.8V,Honda,2007,1006744,96185,LPG
279,Octavia Classic,Skoda,2012,1325277,14840,Diesel
280,Polo Highline,Volkswagen,2004,481584,118326,CNG
281,A3 35 TFSI,Audi,2000,461879,54144,Diesel
282,Spark 1.0,Chevrolet,2002,683858,32071,LPG
283,Nano GenX,Tata,2012,169603,133973,LPG
284,Suzuki Baleno,Maruti,2018,1938259,78578,Petrol
285,Micra XL,Nissan,2021,2037738,29774,Petrol
286,Bolero Power,Mahindra,2010,1276235,91825,LPG
287,Q3 2.0 TDI,Audi,2009,576664,4994,Diesel
288,Nano GenX,Tata,2021,451059,86336,Diesel
289,Suzuki Wagon R,Maruti,2001,699276,51663,Petrol
290,Rapid 1.6,Skoda,2005,923096,63317,Diesel
291,Scorpio S10,Mahindra,2001,50539,25813,CNG
293,Terrano XL,Nissan,2023,525816,91151,LPG
295,Captur RXL,Renault,2001,520490,22164,LPG
296,Santro Xing,Hyundai,2001,73078,14937,Diesel
297,CR-V 2.4,Honda,2006,910817,86404,CNG
299,Etios Liva,Toyota,2004,498712,27765,LPG
300,Suzuki Swift,Maruti,2018,210905,93239,CNG
301,Amaze SX,Honda,2022,1032528,88264,Diesel
302,Superb L&K,Skoda,2017,147397,6706,Diesel
303,X5 xDrive,BMW,2012,505062,28762,Diesel
304,Thar CRDe,Mahindra,2009,833985,116372,CNG
305,Vento 1.5,Volkswagen,2013,398905,42827,Petrol
306,Ameo 1.5,Volkswagen,2021,173344,135714,CNG
307,Sunny XV,Nissan,2012,1367830,33006,Diesel
308,Beat LS,Chevrolet,2005,998293,105359,CNG
309,Fiesta EXI,Ford,2000,266050,13077,Diesel
310,GLA Class 200,Mercedes,2009,393308,48664,LPG
311,C Class C220,Mercedes,2018,218315,114828,CNG
312,Sunny XV,Nissan,2022,549649,24289,CNG
313,Ameo 1.5,Volkswagen,2023,1067236,99922,CNG
314,A3 35 TFSI,Audi,2015,1465933,126138,Petrol
315,Jazz V,Honda,2000,182986,65180,CNG
316,Yeti Plus,Skoda,2012,355928,61433,Petrol
317,Ameo 1.5,Volkswagen,2013,76630,51515,LPG
318,Fabia 1.2L,Skoda,2021,1197950,65227,LPG
319,Duster 110 PS,Renault,2009,568004,127052,Diesel
320,Cruze VCDi,Chevrolet,2020,750941,63164,LPG
321,XUV500 W8,Mahindra,2020,1090276,23691,LPG
323,X1 sDrive,BMW,2005,964848,140660,CNG
324,Cruze VCDi,Chevrolet,2013,1580955,147121,Petrol
326,A6 2.0 TDI,Audi,2022,1126893,24945,Petrol
327,Spark 1.0,Chevrolet,2004,1007603,110143,LPG
328,Suzuki Swift,Maruti,2018,184662,63542,Petrol
329,City VX,Honda,2021,1519978,1879,LPG
330,Yeti Plus,Skoda,2016,953638,26702,LPG
331,Micra XL,Nissan,2006,664565,11649,Petrol
332,Yeti Plus,Skoda,2007,834191,7764,Diesel
333,A3 35 TFSI,Audi,2005,683886,49151,CNG
334,Indica V2,Tata,2008,194513,106402,CNG
335,Nano GenX,Tata,2001,322226,17642,Petrol
336,EcoSport Titanium,Ford,2007,1066808,5787,LPG
337,Indica V2,Tata,2019,2059149,84716,CNG
338,Terrano XL,Nissan,2019,830378,127849,CNG
339,A6 2.0 TDI,Audi,2001,113099,99641,Diesel
340,Santro Xing,Hyundai,2015,451851,141917,Petrol
341,XUV500 W8,Mahindra,2020,98652,3487,LPG
342,GLA Class 200,Mercedes,2013,1574382,30301,CNG
343,Santro Xing,Hyundai,2022,473588,130119,Diesel
344,A4 2.0 TDI,Audi,2001,285550,24225,LPG
345,X5 xDrive,BMW,2005,140666,131652,LPG
346,Etios Liva,Toyota,2016,1038889,117063,LPG
347,Polo Highline,Volkswagen,2011,758123,130551,CNG
348,Tiago Revotorq,Tata,2014,1422706,108533,Petrol
349,Corolla Altis,Toyota,2022,1208031,16386,Petrol
350,Thar CRDe,Mahindra,2018,91442,31194,CNG
351,A6 2.0 TDI,Audi,2006,446011,85355,LPG
352,Duster 110 PS,Renault,2014,638716,51169,CNG
353,Captur RXL,Renault,2023,1464001,52246,CNG
354,S Class S350,Mercedes,2023,1177914,45077,Petrol
355,XUV500 W8,Mahindra,2005,871680,66668,Diesel
356,Ikon 1.3,Ford,2021,270415,6390,Diesel
357,Terrano XL,Nissan,2011,491827,121449,Diesel
358,Nano GenX,Tata,2006,270956,43752,CNG
359,Suzuki Vitara Brezza,Maruti,2020,89492,91541,Diesel
360,Suzuki Baleno,Maruti,2013,961109,149617,Petrol
361,i20 Asta,Hyundai,2016,1394414,76851,LPG
362,Creta 1.6,Hyundai,2013,1276032,60515,Petrol
363,Civic 1.8V,Honda,2000,335376,65924,CNG
364,Cruze VCDi,Chevrolet,2020,963015,144941,Petrol
365,Q7 3.0 TDI,Audi,2005,1024973,8345,Petrol
366,Suzuki Ertiga,Maruti,2001,726060,52435,LPG
367,City VX,Honda,2013,1651886,81481,Diesel
368,Nexon XZ,Tata,2017,1545808,120495,Petrol
369,Nexon XZ,Tata,2011,638063,64199,LPG
370,C Class C220,Mercedes,2012,1450777,14048,Diesel
371,Jeep CL550,Mahindra,2020,1698733,137923,LPG
372,Sail 1.2,Chevrolet,2012,993469,33235,LPG
373,A4 2.0 TDI,Audi,2004,105898,130428,Diesel
374,CR-V 2.4,Honda,2011,613454,107027,CNG
375,X1 sDrive,BMW,2001,377752,12170,Petrol
376,Cruze VCDi,Chevrolet,2017,159364,28939,Diesel
377,Jetta 2.0,Volkswagen,2009,172283,22941,LPG
378,Spark 1.0,Chevrolet,2013,186197,66982,LPG
379,Lodgy 85 PS,Renault,2004,711889,43234,LPG
380,Endeavour 3.2,Ford,2015,178506,109347,CNG
381,Suzuki Ertiga,Maruti,2009,337568,27593,Diesel
382,Figo Aspire,Ford,2016,1296991,122576,LPG
383,Micra XL,Nissan,2008,612524,101091,LPG
384,E Class E220,Mercedes,2020,627696,94891,Diesel
385,Rapid 1.6,Skoda,2010,1321860,110048,LPG
386,E Class E220,Mercedes,2008,1231500,102044,LPG
387,Jetta 2.0,Volkswagen,2010,102682,38508,Diesel
388,Jetta 2.0,Volkswagen,2007,762046,114551,CNG
389,Fiesta EXI,Ford,2008,1003401,141847,Diesel
390,Thar CRDe,Mahindra,2004,469852,131637,Diesel
391,Santro Xing,Hyundai,2019,1913721,37752,Diesel
392,Etios Liva,Toyota,2019,602289,47787,LPG
393,Scorpio S10,Mahindra,2003,558032,114240,LPG
394,5 Series 520d,BMW,2007,1202503,89794,Petrol
395,Innova 2.5 V,Toyota,2000,42933,45085,LPG
396,Fiesta EXI,Ford,2015,1380551,144952,LPG
397,Suzuki Swift,Maruti,2017,672642,62970,Diesel
398,Santro Xing,Hyundai,2005,329639,69201,Petrol
399,Suzuki Wagon R,Maruti,2001,665700,16768,LPG
400,Spark 1.0,Chevrolet,2021,673320,45205,Petrol
401,Jetta 2.0,Volkswagen,2006,594709,119703,LPG
402,Sunny XV,Nissan,2018,1066398,10305,Diesel
403,Ikon 1.3,Ford,2013,1417306,115041,CNG
404,Rapid 1.6,Skoda,2023,1031777,64865,LPG
405,Polo Highline,Volkswagen,2017,1438062,120060,Petrol
406,City VX,Honda,2017,136770,146634,Diesel
407,Fiesta EXI,Ford,2018,1050863,78298,Diesel
408,Yaris J,Toyota,2019,1820558,117801,Petrol
409,GLA Class 200,Mercedes,2014,813734,84632,Petrol
410,Suzuki Alto 800,Maruti,2003,916348,6044,LPG
411,3 Series 320d,BMW,2014,115369,57233,CNG
412,Spark 1.0,Chevrolet,2019,2048728,23505,Petrol
413,Duster 110 PS,Renault,2012,158129,82409,LPG
414,Ikon 1.3,Ford,2013,628650,51214,Petrol
415,CR-V 2.4,Honda,2023,2095931,79901,Diesel
416,Duster 110 PS,Renault,2003,325739,104491,LPG
417,Lodgy 85 PS,Renault,2006,185883,83571,LPG
418,KUV100,Mahindra,2001,436054,6434,Diesel
419,Cruze VCDi,Chevrolet,2020,143495,35501,Diesel
420,Terrano XL,Nissan,2020,1105795,111726,Petrol
421,Micra XL,Nissan,2011,762605,118668,LPG
422,Santro Xing,Hyundai,2014,806372,40792,Diesel
423,3 Series 320d,BMW,2021,605039,149116,Petrol
424,Sail 1.2,Chevrolet,2002,882642,29802,CNG
426,GLA Class 200,Mercedes,2014,634119,61437,LPG
427,Yeti Plus,Skoda,2022,390554,11867,CNG
428,Spark 1.0,Chevrolet,2017,1657767,37654,Diesel
429,Suzuki Alto 800,Maruti,2015,1113677,11189,Diesel
430,Harrier XZ,Tata,2009,1255360,117255,CNG
431,Vento 1.5,Volkswagen,2007,604836,19860,Diesel
432,Lodgy 85 PS,Renault,2011,501494,142725,LPG
433,Civic 1.8V,Honda,2021,1971403,122660,CNG
434,Harrier XZ,Tata,2021,520083,144197,Petrol
435,Duster 110 PS,Renault,2007,289396,25750,Diesel
436,Suzuki Wagon R,Maruti,2022,643301,124239,Diesel
438,Yeti Plus,Skoda,2019,1058355,137235,Petrol
439,Cruze VCDi,Chevrolet,2017,194745,145714,Petrol
440,Kicks XL,Nissan,2010,514404,118397,Diesel
441,Jetta 2.0,Volkswagen,2018,501524,15938,Petrol
442,A4 2.0 TDI,Audi,2002,257403,145260,CNG
443,Micra XL,Nissan,2019,881658,26702,LPG
444,Suzuki Vitara Brezza,Maruti,2000,438506,128729,Diesel
445,XUV500 W8,Mahindra,2004,972126,93916,LPG
446,Indica V2,Tata,2007,620599,97883,LPG
447,Rapid 1.6,Skoda,2021,998618,118244,Diesel
448,Civic 1.8V,Honda,2018,886591,80266,Diesel
449,XUV500 W8,Mahindra,2005,139688,116922,CNG
450,C Class C220,Mercedes,2007,739741,50145,LPG
451,GLA Class 200,Mercedes,2012,482697,108601,Diesel
452,C Class C220,Mercedes,2004,1008878,141979,Petrol
453,Corolla Altis,Toyota,2023,1797002,127510,Diesel
454,Jetta 2.0,Volkswagen,2002,40828,122010,Diesel
455,Suzuki Swift,Maruti,2006,1181267,23857,CNG
456,Lodgy 85 PS,Renault,2018,1695318,129363,Petrol
457,5 Series 520d,BMW,2016,635093,3670,Diesel
458,Tiago Revotorq,Tata,2005,486249,58083,CNG
459,Suzuki Wagon R,Maruti,2022,2040160,42847,Diesel
460,i20 Asta,Hyundai,2019,1208483,126367,LPG
461,Suzuki Swift,Maruti,2007,856693,77773,LPG
462,E Class E220,Mercedes,2010,843629,117763,Diesel
463,Vento 1.5,Volkswagen,2014,241429,33188,Diesel
464,Grand i10,Hyundai,2019,1577744,19556,Petrol
465,Harrier XZ,Tata,2009,607263,3130,LPG
466,Yaris J,Toyota,2012,1465046,91458,Petrol
467,Duster 110 PS,Renault,2017,366756,104721,CNG
468,Kicks XL,Nissan,2013,1276155,59659,Petrol
469,Kicks XL,Nissan,2000,138111,97742,LPG
470,A6 2.0 TDI,Audi,2005,549312,63963,Petrol
471,Jazz V,Honda,2016,1530921,18432,LPG
472,3 Series 320d,BMW,2021,1423209,110618,Diesel
473,Jetta 2.0,Volkswagen,2016,1443542,97760,Petrol
474,Spark 1.0,Chevrolet,2011,1285531,81015,Petrol
475,Endeavour 3.2,Ford,2005,269890,104362,Petrol
476,X5 xDrive,BMW,2009,837365,63266,Diesel
477,Verna 1.6,Hyundai,2020,724753,22037,CNG
478,Elantra,Hyundai,2004,564660,72862,CNG
479,Spark 1.0,Chevrolet,2014,329352,52060,LPG
480,Amaze SX,Honda,2006,231377,29155,Diesel
481,X1 sDrive,BMW,2015,969954,59992,LPG
482,X5 xDrive,BMW,2007,475280,80077,Diesel
483,Kwid RXT,Renault,2018,1789578,133984,Diesel
484,Sail 1.2,Chevrolet,2011,662866,16830,Diesel
485,Yaris J,Toyota,2023,966957,82629,Diesel
486,C Class C220,Mercedes,2020,474290,41683,LPG
487,Micra XL,Nissan,2004,120767,115561,Petrol
488,Santro Xing,Hyundai,2007,482452,1192,Diesel
489,Vento 1.5,Volkswagen,2020,1340894,29611,LPG
490,Creta 1.6,Hyundai,2013,347080,63790,Diesel
491,Captur RXL,Renault,2000,232717,20681,Diesel
492,Octavia Classic,Skoda,2001,770948,16213,Diesel
493,Rapid 1.6,Skoda,2003,106774,66387,Petrol
494,City VX,Honda,2009,482063,103190,Diesel
495,Safari Dicor,Tata,2019,1135397,99416,CNG
496,Suzuki Swift,Maruti,2009,108949,6776,Petrol
497,Rapid 1.6,Skoda,2000,511634,22079,LPG
498,Polo Highline,Volkswagen,2021,1634819,93042,Diesel
499,KUV100,Mahindra,2019,1886257,62194,Petrol
500,Jazz V,Honda,2022,280326,100807,LPG
